suite,lens,item_index,item_name,label_index,label,scored_form,token_id,layer,censored_rank,within_top25
lens-eval-association,fit_a,0,grief,0,grief, grief,37284,0,26,False
lens-eval-association,fit_a,0,grief,0,grief, grief,37284,1,26,False
lens-eval-association,fit_a,0,grief,0,grief, grief,37284,2,26,False
lens-eval-association,fit_a,0,grief,0,grief, grief,37284,3,26,False
lens-eval-association,fit_a,0,grief,0,grief, grief,37284,4,26,False
lens-eval-association,fit_a,0,grief,0,grief, grief,37284,5,26,False
lens-eval-association,fit_a,0,grief,0,grief, grief,37284,6,26,False
lens-eval-association,fit_a,0,grief,0,grief, grief,37284,7,26,False
lens-eval-association,fit_a,0,grief,0,grief, grief,37284,8,26,False
lens-eval-association,fit_a,0,grief,0,grief, grief,37284,9,26,False
lens-eval-association,fit_a,0,grief,0,grief, grief,37284,10,26,False
lens-eval-association,fit_a,0,grief,0,grief, grief,37284,11,26,False
lens-eval-association,fit_a,0,grief,0,grief, grief,37284,12,26,False
lens-eval-association,fit_a,0,grief,0,grief, grief,37284,13,26,False
lens-eval-association,fit_a,0,grief,0,grief, grief,37284,14,26,False
lens-eval-association,fit_a,0,grief,0,grief, grief,37284,15,26,False
lens-eval-association,fit_a,0,grief,0,grief, grief,37284,16,26,False
lens-eval-association,fit_a,0,grief,0,grief, grief,37284,17,26,False
lens-eval-association,fit_a,0,grief,0,grief, grief,37284,18,26,False
lens-eval-association,fit_a,0,grief,0,grief, grief,37284,19,26,False
lens-eval-association,fit_a,0,grief,0,grief, grief,37284,20,26,False
lens-eval-association,fit_a,0,grief,0,grief, grief,37284,21,26,False
lens-eval-association,fit_a,0,grief,0,grief, grief,37284,22,26,False
lens-eval-association,fit_a,0,grief,0,grief, grief,37284,23,26,False
lens-eval-association,fit_a,0,grief,0,grief, grief,37284,24,26,False
lens-eval-association,fit_a,0,grief,0,grief, grief,37284,25,26,False
lens-eval-association,fit_a,0,grief,0,grief, grief,37284,26,26,False
lens-eval-association,fit_a,1,pregnant,0,pregnant, pregnant,20280,0,26,False
lens-eval-association,fit_a,1,pregnant,0,pregnant, pregnant,20280,1,26,False
lens-eval-association,fit_a,1,pregnant,0,pregnant, pregnant,20280,2,26,False
lens-eval-association,fit_a,1,pregnant,0,pregnant, pregnant,20280,3,26,False
lens-eval-association,fit_a,1,pregnant,0,pregnant, pregnant,20280,4,26,False
lens-eval-association,fit_a,1,pregnant,0,pregnant, pregnant,20280,5,26,False
lens-eval-association,fit_a,1,pregnant,0,pregnant, pregnant,20280,6,26,False
lens-eval-association,fit_a,1,pregnant,0,pregnant, pregnant,20280,7,26,False
lens-eval-association,fit_a,1,pregnant,0,pregnant, pregnant,20280,8,26,False
lens-eval-association,fit_a,1,pregnant,0,pregnant, pregnant,20280,9,26,False
lens-eval-association,fit_a,1,pregnant,0,pregnant, pregnant,20280,10,26,False
lens-eval-association,fit_a,1,pregnant,0,pregnant, pregnant,20280,11,26,False
lens-eval-association,fit_a,1,pregnant,0,pregnant, pregnant,20280,12,26,False
lens-eval-association,fit_a,1,pregnant,0,pregnant, pregnant,20280,13,26,False
lens-eval-association,fit_a,1,pregnant,0,pregnant, pregnant,20280,14,26,False
lens-eval-association,fit_a,1,pregnant,0,pregnant, pregnant,20280,15,26,False
lens-eval-association,fit_a,1,pregnant,0,pregnant, pregnant,20280,16,26,False
lens-eval-association,fit_a,1,pregnant,0,pregnant, pregnant,20280,17,26,False
lens-eval-association,fit_a,1,pregnant,0,pregnant, pregnant,20280,18,26,False
lens-eval-association,fit_a,1,pregnant,0,pregnant, pregnant,20280,19,26,False
lens-eval-association,fit_a,1,pregnant,0,pregnant, pregnant,20280,20,26,False
lens-eval-association,fit_a,1,pregnant,0,pregnant, pregnant,20280,21,26,False
lens-eval-association,fit_a,1,pregnant,0,pregnant, pregnant,20280,22,26,False
lens-eval-association,fit_a,1,pregnant,0,pregnant, pregnant,20280,23,26,False
lens-eval-association,fit_a,1,pregnant,0,pregnant, pregnant,20280,24,26,False
lens-eval-association,fit_a,1,pregnant,0,pregnant, pregnant,20280,25,26,False
